Validation_Set,Topics,Alpha,Beta,Coherence,
30% Corpus,9,0.61,0.01,0.5198246,
30% Corpus,9,0.61,0.31,0.5142430517961816,
30% Corpus,9,0.61,0.61,0.5075307913542368,
30% Corpus,9,0.61,0.9099999999999999,0.4545916212984523,
30% Corpus,9,0.61,symmetric,0.5152659582250764,
30% Corpus,9,0.9099999999999999,0.01,0.49907889688847695,
30% Corpus,9,0.9099999999999999,0.31,0.4944617629309329,
30% Corpus,9,0.9099999999999999,0.61,0.46824380588221853,
30% Corpus,9,0.9099999999999999,0.9099999999999999,0.40497287478735366,
30% Corpus,9,0.9099999999999999,symmetric,0.4942965947595228,
30% Corpus,9,symmetric,0.01,0.512829613,
30% Corpus,9,symmetric,0.31,0.5250936610045677,
30% Corpus,9,symmetric,0.61,0.4501600798640088,
30% Corpus,9,symmetric,0.9099999999999999,0.44608920856517237,
30% Corpus,9,symmetric,symmetric,0.5161480300214972,
30% Corpus,9,asymmetric,0.01,0.513961505,
30% Corpus,9,asymmetric,0.31,0.5919247465371726,
30% Corpus,9,asymmetric,0.61,0.4408221039955101,
30% Corpus,9,asymmetric,0.9099999999999999,0.4059113130055027,
30% Corpus,9,asymmetric,symmetric,0.4910382986542514,
30% Corpus,10,0.01,0.01,0.5115636521283936,
30% Corpus,10,0.01,0.31,0.4928386813430846,
30% Corpus,10,0.01,0.61,0.4528648683652367,
30% Corpus,10,0.01,0.9099999999999999,0.4295373606752471,
30% Corpus,10,0.01,symmetric,0.5071540243484935,
30% Corpus,10,0.31,0.01,0.5288641068665383,
30% Corpus,10,0.31,0.31,0.4821956672314311,
30% Corpus,10,0.31,0.61,0.5242954641664549,
30% Corpus,10,0.31,0.9099999999999999,0.37910350783197927,
30% Corpus,10,0.31,symmetric,0.5184131876938544,
30% Corpus,10,0.61,0.01,0.5210542455203925,
30% Corpus,10,0.61,0.31,0.5039790098176529,
30% Corpus,10,0.61,0.61,0.45846282964937846,
30% Corpus,10,0.61,0.9099999999999999,0.35104238072849325,
30% Corpus,10,0.61,symmetric,0.5140947175106777,
30% Corpus,10,0.9099999999999999,0.01,0.48877762962531285,
30% Corpus,10,0.9099999999999999,0.31,0.4929913948202498,
30% Corpus,10,0.9099999999999999,0.61,0.45309387,
30% Corpus,10,0.9099999999999999,0.9099999999999999,0.39583235393753136,
30% Corpus,10,0.9099999999999999,symmetric,0.4963485323751106,
30% Corpus,10,symmetric,0.01,0.5134076677021195,
30% Corpus,10,symmetric,0.31,0.4937238534662294,
30% Corpus,10,symmetric,0.61,0.5040249232562484,
30% Corpus,10,symmetric,0.9099999999999999,0.40965724230072353,
30% Corpus,10,symmetric,symmetric,0.5091918555400877,
30% Corpus,10,asymmetric,0.01,0.5202865710691172,
30% Corpus,10,asymmetric,0.31,0.6037730569417059,
30% Corpus,10,asymmetric,0.61,0.5554374516389758,
30% Corpus,10,asymmetric,0.9099999999999999,0.5009144528516863,
30% Corpus,10,asymmetric,symmetric,0.5256037050094841,
