Validation_Set,Topics,Alpha,Beta,Coherence
30% Corpus,5,0.9099999999999999,0.61,0.5015307399933212
30% Corpus,5,0.9099999999999999,0.9099999999999999,0.49337063155680594
30% Corpus,5,0.9099999999999999,symmetric,0.48594370089869143
30% Corpus,5,symmetric,0.01,0.4784869794713254
30% Corpus,5,symmetric,0.31,0.5243086789495607
30% Corpus,5,symmetric,0.61,0.5669886938369119
30% Corpus,5,symmetric,0.9099999999999999,0.6172245744357032
30% Corpus,5,symmetric,symmetric,0.47729822954529294
30% Corpus,5,asymmetric,0.01,0.4785768516557226
30% Corpus,5,asymmetric,0.31,0.5189846154016089
30% Corpus,5,asymmetric,0.61,0.4600843147030509
30% Corpus,5,asymmetric,0.9099999999999999,0.5169554891763938
30% Corpus,5,asymmetric,symmetric,0.5424797714873799
30% Corpus,6,0.01,0.01,0.5111062559366376
30% Corpus,6,0.01,0.31,0.48436279314160896
30% Corpus,6,0.01,0.61,0.6552792470482661
30% Corpus,6,0.01,0.9099999999999999,0.42742272472652143
30% Corpus,6,0.01,symmetric,0.5220163072258177
30% Corpus,6,0.31,0.01,0.5108921916623106
30% Corpus,6,0.31,0.31,0.5563446096149026
30% Corpus,6,0.31,0.61,0.4974070680200773
30% Corpus,6,0.31,0.9099999999999999,0.47061137904706923
30% Corpus,6,0.31,symmetric,0.5279469766586043
30% Corpus,6,0.61,0.01,0.5127388182585458
30% Corpus,6,0.61,0.31,0.5168239957967916
30% Corpus,6,0.61,0.61,0.5738782204956628
30% Corpus,6,0.61,0.9099999999999999,0.6196006749654869
30% Corpus,6,0.61,symmetric,0.510928557203215
30% Corpus,6,0.9099999999999999,0.01,0.5085493789724842
30% Corpus,6,0.9099999999999999,0.31,0.5015195919153063
30% Corpus,6,0.9099999999999999,0.61,0.525058838805108
30% Corpus,6,0.9099999999999999,0.9099999999999999,0.6057817915092137
30% Corpus,6,0.9099999999999999,symmetric,0.5083232181139267
30% Corpus,6,symmetric,0.01,0.5122077705974949
30% Corpus,6,symmetric,0.31,0.550295995225637
30% Corpus,6,symmetric,0.61,0.5889227845265234
30% Corpus,6,symmetric,0.9099999999999999,0.4364183574299321
30% Corpus,6,symmetric,symmetric,0.5263377837274706
30% Corpus,6,asymmetric,0.01,0.5109693948281783
